actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title,comb
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avat,CCH Pounder Joel David Moore Wes Studi James Cameron Action|Adventure|Fantasy|Sci-Fi
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: at world's e,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,spect,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action|Adventure|Thriller
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,the dark knight ris,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action|Thriller
Doug Walker,Rob Walker,uknown,Doug Walker,Documentary,star wars: episode vii - the force awakens          ,Doug Walker Rob Walker uknown Doug Walker Documentary
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,john cart,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action|Adventure|Sci-Fi
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,spider-man,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action|Adventure|Romance
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangl,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,avengers: age of ultr,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action|Adventure|Sci-Fi
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prin,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure|Family|Fantasy|Mystery
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,batman v superman: dawn of justi,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action|Adventure|Sci-Fi
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,superman retur,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action|Adventure|Sci-Fi
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,quantum of sola,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action|Adventure
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: dead man's che,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action|Adventure|Fantasy
Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action|Adventure|Western,the lone rang,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action|Adventure|Western
Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,man of ste,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action|Adventure|Fantasy|Sci-Fi
